ID,ID (letter),Name,Year,Year,Milestone,Project length,Expected cost,Expected 5309 contribution,Expected other federal funds,Expected opening,Author
130,,Norfolk LRT - The Tide Light Rail,2002,BA15,BA15,BA15,BA15,NAV,NAV,BA15,
130,,Norfolk LRT - The Tide Light Rail,2006,BA15,BA15,BA15,BA15,NAV,NAV,BA15,
130,,Norfolk LRT - The Tide Light Rail,2007,BA15,BA15,BA15,BA15,NAV,NAV,BA15,
130,,Norfolk LRT - The Tide Light Rail,2011,BA15,BA15,BA15,BA15,NAV,NAV,BA15,
131,,West End Transitway,2016,PA18,PA18,PA18,PA18,NAV,NAV,PA18,
131,,West End Transitway,2017,PA18,PA18,PA18,PA18,NAV,NAV,PA18,
131,,West End Transitway,2019,PA18,PA18,PA18,PA18,NAV,NAV,PA18,
132,,Richmond Highway BRT Project,2022,AR22,AR22,NAV,AR22,AR22,NAV,NAV,
133,,Seattle-Tacoma Sounder Commuter Rail ,1998,AR00,AR00,AR00,NAV,NAV,NAV,AR00,
133,,Seattle-Tacoma Sounder Commuter Rail ,1998,AR00,AR00,AR00,AR00,AR00,NAV,AR00,
134,,Central Link Initial Segment (Initial),1999,BA13,BA13,BA13,BA13,BA13,NAV,BA13,
134,,Central Link Initial Segment (Initial),2000,BA13,BA13,BA13,BA13,NAV,NAV,NAV,
134,,Central Link Initial Segment (Initial),2003,BA13,BA13,BA13,BA13,NAV,NAV,NAV,
135,,Roosevelt RapidRide BRT ,2019,AR19,AR19,NAV,AR19,AR19,NAV,NAV,
135,,Roosevelt RapidRide BRT ,2020,AR20,AR20,NAV,AR20,AR20,NAV,NAV,
136,,University Link LRT Extension,1999,AR07,AR07,AR07,AR07,AR07,NAV,AR07,
136,,University Link LRT Extension,2001,AR07,AR07,NAV,NAV,NAV,NAV,NAV,
136,,University Link LRT Extension,2005,AR07,AR07,NAV,NAV,NAV,NAV,NAV,
137,,Lynnwood Link Extension,2013,AR15,AR15,AR15,AR15,AR15,NAV,AR15,
137,,Lynnwood Link Extension,2016,AR17,AR17,AR17,AR17,AR17,NAV,NAV,
138,,Center City Connector Streetcar,2018,AR16,AR16,AR16,AR16,AR16,NAV,AR16,
138,,Center City Connector Streetcar,2018,AR18,AR18,NAV,AR18,AR18,NAV,NAV,
138,,Center City Connector Streetcar,2019,AR19,AR19,NAV,AR19,AR19,NAV,NAV,
138,,Center City Connector Streetcar,2020,AR20,AR20,NAV,AR20,AR20,NAV,NAV,
138,,Center City Connector Streetcar,2021,AR21,AR21,NAV,AR21,AR21,NAV,NAV,
139,,Sound Transit-Federal Way Link Extension,2018,AR19,AR19,NAV,AR19,AR19,NAV,NAV,
139,,Sound Transit-Federal Way Link Extension,2020,AR20,AR20,NAV,AR20,AR20,NAV,NAV,
140,,Madison Street Corridor BRT,2019,PP19,PP19,PP19,PP19,PP19,PP19,PP19,
140,,Madison Street Corridor BRT,2020,PP19,PP19,PP19,PP19,PP19,PP19,PP19,
141,,Link Extension and North Link,2006,AR15,AR15,AR15,AR15,AR15,NAV,AR15,
141,,Link Extension and North Link,2006,AR15,AR15,AR15,NAV,NAV,NAV,NAV,
141,,Link Extension and North Link,2009,AR15,AR15,AR15,NAV,NAV,NAV,NAV,
142,,Airport Link,2003,BA13,BA13,BA13,BA13,BA13,NAV,BA13,
142,,Airport Link,2008,BA13,BA13,BA13,BA13,BA13,NAV,BA13,
143,,North Link,NAV,NAV,NAV,NAV,NAV,NAV,NAV,NAV,
144,,Everett to Seattle Commuter Rail,1996,AR00,AR00,AR00,AR00,AR00,NAV,AR00,
144,,Everett to Seattle Commuter Rail,1998,AR01,AR01,AR01,AR01,AR01,NAV,AR02,
144,,Everett to Seattle Commuter Rail,1999,AR02,AR02,AR02,AR02,AR02,NAV,AR02,
144,,Everett to Seattle Commuter Rail,2000,AR06,AR06,AR06,AR06,AR06,NAV,AR06,
144,,Everett to Seattle Commuter Rail,2006,AR98,AR98,AR98,AR98,AR98,NAV,AR98,
145,,Federal Way Link Extension,2018,AR18,AR18,NAV,AR18,NAV,NAV,NAV,
145,,Federal Way Link Extension,2019,AR19,AR19,NAV,AR19,NAV,NAV,NAV,
145,,Federal Way Link Extension,2020,AR20,AR20,NAV,AR20,NAV,NAV,NAV,
145,,Federal Way Link Extension,2021,AR21,AR21,NAV,AR21,NAV,NAV,NAV,
146,,Rapid Ride I,2021,AR21,AR21,NAV,AR21,NAV,NAV,NAV,
146,,Rapid Ride I,2022,AR22,AR22,NAV,AR22,AR22,NAV,NAV,
147,,Rapid Ride K,2021,AR21,AR21,NAV,AR21,NAV,NAV,NAV,
148,,Mill Plain Bus Rapid Transit,2020,AR20,AR20,NAV,AR20,AR20,NAV,NAV,
148,,Mill Plain Bus Rapid Transit,2021,AR21,AR21,NAV,AR21,AR21,NAV,NAV,
149,,Fourth Plain Bus Rapid Transit,2015,AR15,AR15,AR15,AR15,AR15,AR15,AR15,
149,,Fourth Plain Bus Rapid Transit,2016,AR16,AR16,AR16,AR16,AR16,AR16,AR16,
150,,Swift II,2014,AR16,AR16,AR16,AR16,AR16,NAV,AR16,
150,,Swift II,2016,AR17,AR17,NAV,AR17,AR17,NAV,NAV,
150,,Swift II,2017,AR18,AR18,NAV,AR18,AR18,NAV,NAV,
150,,Swift II,2018,AR19,AR19,NAV,AR19,AR19,NAV,NAV,
151,,Tacoma Link Light Rail Expansion,2016,AR16,AR16,AR16,AR16,AR16,AR16,AR16,
151,,Tacoma Link Light Rail Expansion,2017,AR17,AR17,NAV,AR17,AR17,NAV,NAV,
151,,Tacoma Link Light Rail Expansion,2018,AR18,AR18,NAV,AR18,AR18,NAV,NAV,
151,,Tacoma Link Light Rail Expansion,2019,AR19,AR19,NAV,AR19,AR19,NAV,NAV,
152,,Lakewood to Tacoma Commuter Rail,1998,AR01,AR01,AR01,AR01,AR01,NAV,AR01,
