ID,ID (letter),Name,Year of initial milestone,Number of stations,Project type,Funding program,Sponsor_1,Sponsor ID_1,Sponsor_2,Sponsor ID_2,City,State,Mode,Author
520,,Wilmington to Newark Commuter Rail Improvements,AR07,AR07,AR07,AR07,,NTD,,,AR07,AR07,AR07,zi
521,,LYNX Blue Line Extension - Northeast Corridor,AR13,AR13,AR13,AR13,,NTD,,,AR13,AR13,AR13,zi
522,,CityLYNX Gold Line Phase 2 Streetcar,AR15,AR15,AR15,AR15,,NTD,,,AR15,AR15,AR15,zi
523,,Blue Line Capacity Expansion,PP16,PP16,PP16,PP16,,NTD,,,PP16,PP16,PP16,zi
524,,South Corridor Light Rail Project,AR02,AR02,AR02,AR02,,NTD,,,AR02,AR02,AR02,zi
525,,Durham-Orange LRT,PP17,PP17,PP17,PP17,,NTD,,,PP17,PP17,PP17,zi
526,,Research Triangle Regional Rail System,AR02,AR02,AR02,AR02,,NTD,,,AR02,AR02,AR02,zi
527,,North-South BRT,PP21,PP21,PP21,PP21,,NTD,,,PP21,PP21,PP21,zi
528,,Wake Bus Rapid Transit: New Bern Avenue Project,PP21,PP21,PP21,PP21,,NTD,,,PP21,PP21,PP21,zi
529,,Lowcountry Rapid Transit Project,PP22,PP22,PP22,PP22,,NTD,,,PP22,PP22,PP22,zi
530,,IndyGO Purple Line BRT,PP21,PP21,PP21,PP21,,NTD,,,PP21,PP21,PP21,zi
531,,Red Line All-Electric BRT,PP18,PP18,PP18,PP18,,NTD,,,PP18,PP18,PP18,zi
532,,IndyGO Blue Line Rapid Transit,PP21,PP21,PP21,PP21,,NTD,,,PP21,PP21,PP21,zi
533,,West Lake Corridor,PP22,PP22,PP22,PP22,,NTD,,,PP22,PP22,PP22,zi
534,,South Shore Line /Double Track Northwest Indiana,PP22,PP22,PP22,PP22,,NTD,,,PP22,PP22,PP22,zi
535,,New Britain Hartford Busway,AR01,AR01,AR01,AR01,,NTD,,,AR01,AR01,AR01,zi
536,,Urban Transitway Phase II,AR10,AR10,AR10,AR10,,NTD,,,AR10,AR10,AR10,zi
537,,Urban Transitway Phase I,AR02,AR02,AR02,AR02,,NTD,,,AR02,AR02,AR02,zi
538,,Bridgeport Innermodal Transportation Center Phase 2B and 3,AR02,AR02,AR02,AR02,,NTD,,,AR02,AR02,AR02,zi
539,,High Capacity Transit Corridor Project,AR13,AR13,AR13,AR13,,NTD,,,AR13,AR13,AR13,zi
540,,Primary Corridor Transportation Project,AR02,AR02,AR06,AR02,,NTD,,,AR02,AR02,AR02,zi
541,,Division Avenue BRT,AR13,AR13,AR13,AR13,,NTD,,,AR13,AR13,AR13,zi
542,,Laker Line BRT,PP18,PP18,PP18,PP18,,NTD,,,PP18,PP18,PP18,zi
543,,Michigan/Grand River BRT,AR14,AR14,AR14,AR14,,NTD,,,AR14,AR14,AR14,zi
544,,Central Avenue Corridor/Albuquerque Rapid Transit BRT Project,PP17,PP17,PP17,PP17,,NTD,,,PP17,PP17,PP17,zi
545,,4th Street/Prater Way BRT Project,AR15,AR15,AR15,AR15,,NTD,,,AR15,AR15,AR15,zi
546,,Virginia Street BRT Extension Project,PP20,PP20,PP20,PP20,,NTD,,,PP20,PP20,PP20,zi
547,,Resort Corridor Fixed Guideway,AR07,AR07,AR07,AR07,,NTD,,,AR07,AR07,AR07,zi
548,,Maryland Parkway High Capacity Transit Project,PP21,PP21,PP21,PP21,,NTD,,,PP21,PP21,PP21,zi
549,,East-West Connector BRT Project/ The AMP,AR15,AR15,AR15,AR15,,NTD,,,AR15,AR15,AR15,zi
550,,East Corridor Commuter Rail,AR02,AR02,AR02,AR02,,NTD,,,AR02,AR02,AR02,zi
551,,Medical Center Extension,AR05,AR05,AR05,AR05,,NTD,,,AR05,AR05,AR05,zi
552,,Memphis Innovation Corridor Project,PP22,PP22,PP22,PP22,,NTD,,,PP22,PP22,PP22,zi
553,,Dulles Corridor Metrorail Project Extension to Wiehle Avenue ,AR14,AR14,AR14,AR14,,NTD,,,AR14,AR14,AR14,zi
554,,East West Corridor BRT,PP21,PP21,PP21,PP21,,NTD,,,PP21,PP21,PP21,zi
555,,Madison East West Bus Rapid Transit,PP22,PP22,PP22,PP22,,NTD,,,PP22,PP22,PP22,zi
556,,Pawtucket Central Falls Commuter Rail Station,AR13,AR13,AR13,AR13,,NTD,,,AR13,AR13,AR13,zi
557,,Rhode Island Commuter Rail Improvement,AR02,AR02,AR02,AR02,,NTD,,,AR02,AR02,AR02,zi
558,,South County Commuter Rail,AR07,AR07,AR07,AR07,,NTD,,,AR07,AR07,AR07,zi
559,,Transportation Tomorrow South Central Corridor LRT,AR05,AR05,AR05,AR05,,NTD,,,AR05,AR05,AR05,zi
560,,Wake BRT - Western Corridor Project,PP21,PP21,PP21,PP21,,NTD,,,PP21,PP21,PP21,zi
