ID,ID (letter),Name,Year of initial milestone,Number of stations,Project type,Funding program,City,State,Mode,Author
203,,East Central Corridor,1993,7,Expansion,New Starts,Los Angeles,CA,LRT,am
204,,Eastside Corridor LRT,2000,8,Introduction,New Starts,Los Angeles,CA,LRT,am
205,a,MOS-3 North Hollywood Extension,1997,3,Expansion,New Starts,Los Angeles,CA,Heavy Rail,am
205,b,MOS-3 East Side Extension,1993,4,Expansion,New Starts,Los Angeles,CA,Heavy Rail,am
205,c,MOS-3 The Mid-City Extension,1993,2,Expansion,New Starts,Los Angeles,CA,Heavy Rail,am
205,,MOS-3 ,1993,9,Expansion,New Starts,Los Angeles,CA,Heavy Rail,am
206,,Eastside Corridor Extension Phase 2,1993,3,Expansion,New Starts,Los Angeles,CA,Heavy Rail,am
207,,LOSSAN Rail Corridor Improvement Project ,1997,0,Improvement,New Starts,Los Angeles,CA,Commuter Rail,am
208,,Metro Gold Line Eastside Extension ,2004,8,Expansion,New Starts,Los Angeles,CA,LRT,am
209,,Regional Connector,2011,3,Introduction,New Starts,Los Angeles,CA,LRT,am
210,,Westside Subway Extension Section 1,2011,7,Expansion,New Starts,Los Angeles,CA,Heavy Rail,am
211,,Westside Purple Line Extension Section 1,2012,3,Expansion,New Starts,Los Angeles,CA,Heavy Rail,am
212,,Westside Purple Line Extension Section 2,2014,2,Expansion,New Starts,Los Angeles,CA,Heavy Rail,am
213,,Westside Purple Line Extension Section 3,2018,2,Expansion,New Starts,Los Angeles,CA,Heavy Rail,am
214,,Downtown Los Angeles Streetcar,2013,24,Introduction,Small Starts,Los Angeles,CA,Streetcar,am
215,,BART Airport Extension ,1996,4,Expansion,New Starts,San Francisco Area,CA,Heavy Rail,am
216,,San Francisco (Bayshore) ,1996,NAV,Introduction,New Starts,San Francisco Area,CA,LRT,am
217,,Central Subway LRT ,2002,3,Expansion,New Starts,San Francisco Area,CA,LRT,am
218,,Third Street Light Rail Phase 1 ,1996,19,Expansion,New Starts,San Francisco,CA,LRT,am
219,,Third Street Light Rail Phase 2 – Central Subway,2002,4,Expansion,New Starts,San Francisco,CA,LRT,am
220,,Van Ness Avenue BRT ,2007,8,Introduction,Small Starts,San Francisco,CA,BRT,am
221,,Transbay Corridor ,2015,46,Introduction,Core Capacity,San Francisco,CA,Heavy Rail,am
222,,South Corridor (IOS-1),1997,12,Introduction,New Starts,Sacramento,CA,LRT,am
223,,South Corridor Phase Light Rail Transit Extension,2005,4,Expansion,New Starts,Sacramento,CA,LRT,am
224,,Downtown Riverfront Streetcar,2014,17,Introduction,Small Starts,Sacramento,CA,Streetcar,am
225,,Tasman LRT (West Extension),1992,19,Expansion,New Starts,San Jose,CA,LRT,am
226,,Tasman LRT (West Extension) Phase 1,1992,11,Expansion,New Starts,San Jose,CA,LRT,am
