ID,Name,Year,Milestone,Project length,Expected cost,Expected 5309 contribution,Expected other federal funds,Expected opening
416a,Second Avenue Subway Phase 1,AR-2004,Preliminary Engineering,AR-2004,AR-2004,AR-2004,AR-2004,AR-2004
416b,Second Avenue Subway MOS,AR-2006,Preliminary Engineering,AR-2006,AR-2006,AR-2006,AR-2006,AR-2006
416b,Second Avenue Subway MOS,AR-2007,Preliminary Engineering,AR-2007,AR-2007,AR-2007,AR-2007,AR-2007
416b,Second Avenue Subway MOS,AR-2008,Final Design,AR-2008,AR-2008,AR-2008,AR-2008,AR-2008
416b,Second Avenue Subway MOS,AR-2010,FFGA Awarded,AR-2010,AR-2010,AR-2010,AR-2010,AR-2010
416c,Second Avenue Subway Phase 2,PP,Project Development,PP,PP,PP,PP,PP
417,Canarsie Line Power Improvements,PP,Engineering,PP,PP,PP,PP,PP
418,Woodhaven Select Bus Service ,PP,Project Development,PP,PP,PP,PP,PP
419,Washington/Western Bus Rapid Transit Line,PP,Project Development,PP,PP,PP,PP,PP
420,River Corridor/Blue Line Bus Rapid Transit ,PP,Project Development,PP,PP,PP,PP,PP
421,Hudson Tunnel,PP,Project Development,PP,PP,PP,PP,PP
422,Dallas North Central Corridor LRT,AR-1997,Preliminary Engineering,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997
422,Dallas North Central Corridor LRT,AR-1998,Final Design,AR-1998,AR-1998,AR-1998,AR-1998,AR-1998
422,Dallas North Central Corridor LRT,AR-2000,FFGA Awarded,AR-2000,AR-2000,AR-2000,AR-2000,AR-2000
422,Dallas North Central Corridor LRT,Workman,Project Opening,Workman,Workman,Workman,Workman,Workman
423,Dallas Trinity Railtran Phase 2,AR-1997,Final Design,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997
423,Dallas Trinity Railtran Phase 2,AR-2000,Final Design,AR-2000,AR-2000,AR-2000,AR-2000,AR-2000
423,Dallas Trinity Railtran Phase 2,AR-2001,Final Design,AR-2001,AR-2001,AR-2001,AR-2001,AR-2001
424,Dallas South Oak Cliff Corridor,Spielberg,FFGA Awarded,Spielberg,Spielberg,Spielberg,Spielberg,Spielberg
424,Dallas South Oak Cliff Corridor,Spielberg,Project Opening,Spielberg,Spielberg,Spielberg,Spielberg,Spielberg
425,Dallas Northwest / Southeast LRT MOS ,SR-2002,Preliminary Engineering,SR-2002,SR-2002,SR-2002,SR-2002,SR-2002
425,Dallas Northwest / Southeast LRT MOS ,AR-2004,Preliminary Engineering,AR-2004,AR-2004,AR-2004,AR-2004,AR-2004
425,Dallas Northwest / Southeast LRT MOS ,AR-2005,Preliminary Engineering,AR-2005,AR-2005,AR-2005,AR-2005,AR-2005
425,Dallas Northwest / Southeast LRT MOS ,BA,Preliminary Engineering,BA,BA,BA,BA,BA
425,Dallas Northwest / Southeast LRT MOS ,AR-2006,Final Design,AR-2006,AR-2006,AR-2006,AR-2006,AR-2006
425,Dallas Northwest / Southeast LRT MOS ,BA,FFGA Awarded,BA,BA,BA,BA,BA
425,Dallas Northwest / Southeast LRT MOS ,BA,Project Opening,BA,BA,BA,BA,BA
426,Dallas Red and Blue Line Platform Extensions,PP,Engineering,PP,PP,PP,PP,PP
427,Dallas CBD Second Light Rail Alignment (D2 Subway),PP,Project Development,PP,PP,PP,PP,PP
428,Houston Regional Bus Plan ,AR-1997,FFGA Awarded,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997
429,Houston North Corridor LRT(MOS) ,AR-2007,Preliminary Engineering,AR-2007,AR-2007,AR-2007,AR-2007,AR-2007
429,Houston North Corridor LRT(MOS) ,AR-2010,Preliminary Engineering,AR-2010,AR-2010,AR-2010,AR-2010,AR-2010
429,Houston North Corridor LRT(MOS) ,AR-2011,Final Design,AR-2011,AR-2011,AR-2011,AR-2011,AR-2011
429,Houston North Corridor LRT(MOS) ,AR-2013,FFGA Awarded,AR-2013,AR-2013,AR-2013,AR-2013,AR-2013
430,Houston Southeast Corridor LRT,AR-2010,Preliminary Engineering,AR-2010,AR-2010,AR-2010,AR-2010,AR-2010
430,Houston Southeast Corridor LRT,AR-2011,Final Design,AR-2011,AR-2011,AR-2011,AR-2011,AR-2011
430,Houston Southeast Corridor LRT,AR-2013,FFGA Awarded,AR-2013,AR-2013,AR-2013,AR-2013,AR-2013
431,Houston University Corridor LRT,AR-2011,Preliminary Engineering,AR-2011,AR-2011,AR-2011,AR-2011,AR-2011
431,Houston University Corridor LRT,AR-2013,Preliminary Engineering,AR-2013,AR-2013,AR-2013,AR-2013,AR-2013
432,Houston Downtown to Astrodome Light Rail,AR-2001,Preliminary Engineering,AR-2001,AR-2001,AR-2001,AR-2001,AR-2001
433,Northwest/North Central Corridor ,AR-2000,Preliminary Engineering,AR-2000,AR-2000,AR-2000,AR-2000,AR-2000
434,Austin Light Rail Corridors,AR-2001,Preliminary Engineering,AR-2001,AR-2001,AR-2001,AR-2001,AR-2001
