ID,Name,Year,Milestone,Project length,Expected cost,Expected 5309 contribution,Expected other federal funds,Expected opening
234,"San Diego County, California/Mission Valley East ",AR-2000,AR-2000,AR-2000,AR-2000,AR-2000,AR-2000,NAV
,,AR-2001,AR-2001,AR-2001,AR-2001,AR-2001,AR-2001,NAV
,,AR-2004,AR-2004,AR-2004,AR-2004,AR-2004,AR-2004,AR-2004
,,AR-2007,AR-2007,AR-2007,AR-2007,AR-2007,AR-2007,AR-2007
235,Mid-Coast Corridor Transit Project,AR-2014,AR-2014,AR-2014,AR-2014,AR-2014,AR-2014,AR-2014
,,AR-2014,AR-2014,AR-2014,AR-2014,AR-2014,AR-2014,AR-2014
,,PP-2020,PP-2020,PP-2020,AR-2017,AR-2017,AR-2017,PP-2020
,,PP-2020,PP-2020,PP-2020,AR-2018,AR-2018,AR-2018,PP-2020
,,PP-2020,PP-2020,PP-2020,PP-2020,PP-2020,PP-2020,PP-2020
236,Caltrain Peninsula Corridor Electrification Project ,AR-2017,AR-2017,AR-2017,AR-2017,AR-2017,AR-2017,NAV
,,PP-2020,PP-2020,PP-2020,PP-2020,PP-2020,PP-2020,PP-2020
,,PP-2020,PP-2020,PP-2020,PP-2020,PP-2020,PP-2020,PP-2020
237,Blackstone/Kings Canyon Bus Rapid Transit,AR-2015,AR-2015,AR-2015,AR-2015,AR-2015,AR-2015,AR-2015
,,AR-2016,AR-2017,AR-2016,AR-2016,AR-2016,AR-2016,AR-2016
238,Garden Grove Streetcar,AR-2015,AR-2015,AR-2015,AR-2015,AR-2015,AR-2015,PP-2019
,,AR-2016,AR-2016,AR-2016,AR-2016,AR-2016,AR-2016,PP-2019
239,East Bay BRT,AR-2013,AR-2013,AR-2013,AR-2013,AR-2013,AR-2013,AR-2013
240,San Rafael to Larkspur Regional Connection,AR-2015,AR-2015,AR-2015,AR-2015,AR-2015,AR-2015,AR-2016
241,Redlands Passenger Rail Project,PP-2018,PP-2018,PP-2018,PP-2018,PP-2018,PP-2018,PP-2018
242,SPRINTER Light Rail (Oceanside-Escondido) ,AR-2003,AR-2003,AR-2003,AR-2003,AR-2003,AR-2003,AR-2003
,,AR-2005,AR-2005,AR-2005,AR-2005,AR-2005,AR-2005,AR-2005
,,BA-2011,BA-2011,BA-2011,BA-2011,BA-2011,BA-2011,BA-2011
243,South LRT,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997,AR-1997
,,AR-1999,AR-1999,AR-1999,AR-1999,AR-1999,AR-1999,AR-1999
,,AR-2004,AR-2004,AR-2004,AR-2004,AR-2004,AR-2004,AR-2004
244,Downtown connector ,AR-2000,AR-2000,AR-2000,AR-2000,AR-2000,AR-2000,AR-2000
245,Mid-Jordan LRT ,AR-2011,AR-2011,AR-2011,BA-2016,NAV,AR-2011,NAV
,,AR-2011,AR-2011,AR-2011,AR-2011,AR-2011,AR-2011,NAV
,,AR-2010,AR-2010,AR-2010,AR-2010,AR-2010,AR-2010,NAV
,,BA-2016,BA-2016,BA-2016,BA-2016,NAV,BA-2016,BA-2016
246,Weber County to Salt Lake City Commuter Rail ,AR-2005,AR-2005,AR-2007,AR-2005,AR-2005,AR-2005,AR-2007
,,AR-2007,AR-2007,AR-2007,AR-2007,AR-2007,AR-2007,AR-2007
,,AR-2007,AR-2007,AR-2007,AR-2007,AR-2007,AR-2007,AR-2007
,,AR-2010,AR-2010,AR-2010,AR-2010,AR-2010,AR-2010,AR-2010
